property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
house,sector 7,2.3,5,3,3+,old,1350.0,1,0,unfurnished,budget,low-rise
flat,sector 65,5.0,3,3,3,relatively new,3245.0,1,0,semifurnished,luxury,low-rise
flat,sector 68,1.02,2,2,2,relatively new,1250.0,0,0,semifurnished,budget,high-rise
flat,sector 47,1.1,3,2,3,relatively new,1325.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 3,0.9,3,1,0,relatively old,1008.0,0,0,unfurnished,budget,low-rise
flat,sector 103,1.33,3,3,3+,relatively new,1664.0,0,0,unfurnished,luxury,medium-rise
flat,sector 79,1.69,3,3,2,relatively new,1803.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 70,1.6,3,3,3,relatively new,1522.0,1,0,unfurnished,budget,medium-rise
house,sector 82,6.5,4,3,0,relatively new,3239.96,0,0,unfurnished,semi-luxury,low-rise
flat,sector 85,1.08,2,2,3,new,1200.0,1,1,semifurnished,luxury,medium-rise
flat,sector 69,1.68,3,3,2,relatively new,1516.0,0,0,unfurnished,luxury,low-rise
flat,sector 108,0.93,2,3,3,relatively new,1166.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 61,3.87,3,4,3+,under construction,2250.0,1,0,unfurnished,semi-luxury,high-rise
house,sector 5,0.7,2,3,1,relatively new,999.0,0,1,unfurnished,budget,low-rise
flat,sector 79,0.9,2,2,0,relatively new,1295.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 48,8.2,3,3,2,relatively old,3240.0,1,0,furnished,luxury,low-rise
flat,sector 91,1.8,3,3,3+,relatively new,2578.0,0,0,furnished,budget,low-rise
flat,sector 49,2.45,3,3,3,relatively new,1874.0,0,0,unfurnished,budget,low-rise
flat,sector 92,1.1,3,2,3,relatively new,2350.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 85,1.25,2,2,3,relatively new,1730.0,0,0,unfurnished,budget,medium-rise
house,sector 89,0.29,2,1,0,old,891.0,0,0,unfurnished,budget,low-rise
flat,sector 90,0.7,2,2,3,new,1229.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 93,0.4,2,2,2,new,604.0,0,0,unfurnished,budget,high-rise
flat,sector 47,2.4,3,3,3+,relatively old,1896.0,1,0,semifurnished,semi-luxury,medium-rise
flat,sector 109,1.7,3,3,3,relatively new,1550.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 47,0.78,3,3,3,relatively new,1344.0,0,0,unfurnished,luxury,low-rise
flat,sector 69,1.8,3,3,3,under construction,1893.0,0,0,unfurnished,semi-luxury,high-rise
house,sector 28,1.39,2,2,1,old,1450.0,0,1,unfurnished,budget,low-rise
flat,sector 3,0.32,2,2,1,relatively new,1056.0,0,0,semifurnished,budget,medium-rise
flat,sector 102,2.1,3,4,3+,relatively new,1954.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 92,1.08,4,4,2,new,1900.0,1,0,unfurnished,semi-luxury,high-rise
house,sector 52,3.1,5,4,3+,relatively old,1547.99,1,1,semifurnished,semi-luxury,low-rise
flat,sector 66,1.9,3,4,2,relatively new,1850.0,1,0,semifurnished,luxury,medium-rise
flat,sector 47,0.73,2,2,3,relatively new,974.0,0,0,unfurnished,budget,medium-rise
flat,sector 89,1.7,3,3,3+,under construction,1944.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 47,0.54,2,2,2,under construction,833.0,0,0,unfurnished,semi-luxury,medium-rise
flat,sector 22,1.75,2,2,2,under construction,1255.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 102,1.9,3,3,3+,relatively new,2500.0,1,0,unfurnished,luxury,low-rise
house,sector 4,3.3,3,3,2,old,2250.0,0,0,unfurnished,budget,low-rise
flat,sector 95,0.55,3,2,2,new,863.0,0,0,furnished,budget,high-rise
flat,sector 95,0.42,2,2,2,new,670.0,0,0,semifurnished,semi-luxury,high-rise
flat,sector 65,2.8,4,4,3,relatively new,2194.0,1,0,semifurnished,semi-luxury,low-rise
house,sector 106,5.6,5,4,3+,new,4000.0,1,1,unfurnished,luxury,high-rise
flat,sector 47,1.05,2,2,3,new,834.96,0,0,unfurnished,budget,low-rise
house,sector 5,1.0,1,1,0,old,1500.0,0,0,unfurnished,budget,low-rise
house,sector 28,9.0,6,7,3+,relatively old,3240.0,1,1,unfurnished,semi-luxury,low-rise
flat,sector 108,3.75,3,3,2,new,2130.0,1,0,unfurnished,semi-luxury,high-rise
flat,sector 90,1.75,4,4,3+,relatively new,2014.0,0,0,unfurnished,budget,low-rise
flat,sector 89,1.0,2,2,3,new,1233.0,0,0,unfurnished,semi-luxury,low-rise
flat,sector 65,3.0,4,4,3+,relatively new,1975.11,1,0,unfurnished,semi-luxury,low-rise
flat,sector 106,0.97,2,2,3,new,1200.0,0,0,semifurnished,luxury,medium-rise
house,sector 89,0.7,2,2,2,old,1297.0,0,0,unfurnished,semi-luxury,high-rise
flat,sector 70,1.68,3,3,3+,new,1900.0,1,0,unfurnished,luxury,medium-rise
flat,sector 90,0.7,2,2,3,new,1182.0,0,0,unfurnished,budget,high-rise
flat,sector 106,6.3,5,6,3+,under construction,3782.0,0,0,semifurnished,semi-luxury,medium-rise
flat,sector 102,1.42,3,3,3,relatively new,1310.0,1,0,unfurnished,luxury,medium-rise
flat,sector 90,0.95,3,3,3,relatively new,1667.0,1,0,unfurnished,semi-luxury,medium-rise
flat,sector 106,0.95,2,2,3+,relatively new,940.0,0,0,unfurnished,budget,low-rise
