property_type,society,sector,price_in_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,study room,pooja room,store room,others,furnishing_type,luxury_score,area_bedroom_ratio
flat,m3m soulitude,sector 89,1.28,8826.98,1450.1,Carpet area: 1450 (134.71 sq.m.),3,3,2,4.0,,under construction,,,1450.0,0,1,0,0,0,1,101.0,483.3666666666666
flat,parsvnath green ville,sector 48,1.42,8606.01,1650.01,Super Built up area 1650(153.29 sq.m.),3,3,3,1.0,north-west,relatively old,1650.0,,,0,0,0,1,0,2,151.0,550.0033333333333
flat,paras dews,sector 106,1.13,6406.0,1763.97,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,18.0,north-west,relatively new,1760.0,1186.0,1130.0,1,1,0,0,0,1,24.0,587.99
house,independent,sector 3,0.61,11111.11,549.0,Plot area 61(5.67 sq.m.),2,2,2,2.0,South-East,relatively old,,61.0,,0,0,0,0,1,1,6.0,274.5
flat,raheja sampada,sector 92,0.7,4453.01,1571.97,Built Up area: 1572 (146.04 sq.m.),3,3,0,7.0,,undefined,,1572.0,,0,0,0,0,0,1,,523.99
flat,bestech park view ananda,sector 81,0.95,6984.99,1360.06,Super Built up area 1360(126.35 sq.m.)Built Up area: 1260 sq.ft. (117.06 sq.m.)Carpet area: 894 sq.ft. (83.06 sq.m.),2,2,2,14.0,north-east,relatively new,1360.0,1260.0,894.0,0,0,0,0,0,0,145.0,680.03
flat,dlf regal gardens,sector 90,1.13,6646.98,1700.02,Super Built up area 1730(160.72 sq.m.),3,3,3+,8.0,north,relatively new,1730.0,,,0,0,0,0,1,1,48.0,566.6733333333333
flat,paras quartier,sector 2,7.5,14018.01,5350.26,Super Built up area 5350(497.03 sq.m.),4,4,3+,20.0,north-east,new,5350.0,,,1,0,1,0,1,0,24.0,1337.565
flat,experion the heartsong,sector 108,1.3,8343.98,1558.01,Super Built up area 1758(163.32 sq.m.)Carpet area: 1558 sq.ft. (144.74 sq.m.),3,3,3+,7.0,south-west,relatively new,1758.0,,1558.0,0,1,0,0,0,1,127.0,519.3366666666667
flat,shapoorji pallonji joyville gurugram,sector 102,1.24,10205.01,1215.09,Super Built up area 1215(112.88 sq.m.),2,2,2,10.0,east,relatively new,1215.0,,,0,0,0,0,0,1,107.0,607.545
flat,m3m one key resiments,sector 67,0.8,13114.97,609.99,Built Up area: 610 (56.67 sq.m.),1,1,0,0.0,,undefined,,610.0,,0,0,0,0,0,1,,609.99
flat,m3m skycity,sector 65,3.5,17039.01,2054.11,Carpet area: 2054 (190.82 sq.m.),3,3,3,15.0,east,new,,,2054.0,1,1,1,0,0,0,146.0,684.7033333333334
house,dlf city phase 1,sector 26,4.5,33333.09,1350.01,Plot area 150(125.42 sq.m.),3,3,2,2.0,East,relatively old,,1350.0,,1,1,0,0,0,1,48.0,450.00333333333333
flat,vatika gurgaon,sector 83,0.87,6987.0,1245.17,Super Built up area 1245(115.66 sq.m.),2,2,2,3.0,east,relatively old,1245.0,,,0,0,0,0,0,1,18.0,622.585
flat,pareena laxmi apartments,sector 99,0.31,5903.97,525.07,Carpet area: 525 (48.77 sq.m.),2,2,2,6.0,east,new,,,525.0,0,0,0,0,0,1,49.0,262.535
flat,vatika gurgaon,sector 83,1.25,6313.0,1980.04,Super Built up area 1980(183.95 sq.m.),3,3,2,2.0,west,relatively new,1980.0,,,1,0,0,0,0,1,95.0,660.0133333333333
flat,unitech vistas,sector 70,0.53,4799.99,1104.17,Super Built up area 1095(101.73 sq.m.),2,2,2,9.0,,under construction,1095.0,,,0,0,0,0,1,1,20.0,552.085
flat,corona optus,sector 37,1.44,7236.0,1990.05,Super Built up area 1990(184.88 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3+,2.0,north-west,relatively new,1990.0,,1600.0,1,1,0,0,1,1,24.0,663.35
flat,assotech blith,sector 99,1.15,6593.02,1744.27,Super Built up area 1365(126.81 sq.m.),2,2,2,2.0,,new,1365.0,,,0,0,0,0,1,0,50.0,872.135
flat,paras dews,sector 106,0.92,6642.02,1385.12,Super Built up area 1385(128.67 sq.m.)Built Up area: 940 sq.ft. (87.33 sq.m.)Carpet area: 845 sq.ft. (78.5 sq.m.),2,2,3+,2.0,east,relatively new,1385.0,940.0,845.0,0,0,0,0,0,1,151.0,692.56
flat,hcbs sports ville,sector 47,0.25,4165.97,600.1,Built Up area: 600 (55.74 sq.m.),1,1,1,12.0,,relatively new,,600.0,,0,0,0,0,0,1,30.0,600.1
flat,paras dews,sector 106,1.25,7101.99,1760.07,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,5.0,north-east,relatively new,1760.0,1186.0,1130.0,1,0,0,0,0,1,142.0,586.6899999999999
flat,woodstock floors,sector 50,1.05,10626.99,988.05,Carpet area: 988 (91.79 sq.m.),2,2,2,2.0,north,relatively old,,,988.0,0,0,0,0,0,1,35.0,494.025
flat,puri emerald bay,sector 104,2.49,10163.02,2450.06,Super Built up area 2450(227.61 sq.m.),3,3,3+,14.0,south,relatively new,2450.0,,,1,0,0,0,0,0,102.0,816.6866666666666
flat,ats triumph,sector 104,2.0,8733.01,2290.16,Super Built up area 2290(212.75 sq.m.),3,4,3+,4.0,,relatively new,2290.0,,,1,0,0,0,0,1,51.0,763.3866666666667
flat,dlf new town heights,sector 90,1.95,7150.01,2727.27,Super Built up area 2727(253.35 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),4,4,3+,24.0,north-east,relatively new,2727.0,,2200.0,1,0,0,1,0,1,154.0,681.8175
flat,emaar imperial gardens,sector 102,1.98,9900.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3,3,3+,9.0,north,relatively new,,,2000.0,1,0,0,0,0,0,52.0,666.6666666666666
flat,dlf regal gardens,sector 90,1.65,7449.01,2215.06,Super Built up area 2215(205.78 sq.m.)Built Up area: 2214 sq.ft. (205.69 sq.m.)Carpet area: 2213 sq.ft. (205.59 sq.m.),4,4,3+,15.0,east,relatively new,2215.0,2214.0,2213.0,0,0,0,0,0,0,135.0,553.765
